Pergunta;Proporção (%);Respondidas
autonomia de colheita (velocidade de descarga) (csat);73.49;1419/1931
autonomia de colheita (capacidade do tanque graneleiro) (csat);73.38;1417/1931
capacidade operacional (ton ou hectares ou sacas por hora) (csat);73.33;1416/1931
qualidade do grão colhido (csat);73.17;1413/1931
facilidade de operação (csat);73.17;1413/1931
conforto  (csat);73.07;1411/1931
índice de perdas (% ou kg ou sacas por hectare) (csat);72.71;1404/1931
disponibilidade mecânica e confiabilidade (csat);72.5;1400/1931
adaptabilidade as mais diversas condições de colheita (csat);72.29;1396/1931
consumo de combustível (litros por tonelada) (csat);71.88;1388/1931
facilidade para realização de manutenções (csat);71.83;1387/1931
compactação do solo (csat);71.1;1373/1931
adaptabilidade aos tipos de grãos colhidos (csat);70.9;1369/1931
custo de manutenção (csat);67.22;1298/1931
ergonomia (csat);55.62;1074/1931
geração e transmissão de dados para gestão da frota (csat);45.11;871/1931
geração e transmissão de dados para gestão agrícola (csat);44.12;852/1931
geração e transmissão de mapas de colheita (csat);35.63;688/1931
facilidade de uso do piloto automático e sistemas de mapeamento (csat);33.35;644/1931
como você avalia a qualidade e a confiabilidade do seu <modelo> (considere o acabamento e a aparência da sua máquina, falhas, problemas de confiabilidade ou avarias que você possa ter tido)? (csat);25.53;493/1931
agora, considere características específicas do seu <modelo>, como você avalia seu desempenho (csat);25.53;493/1931
como você avalia o conforto e a ergonomia do seu <modelo>  (considere, por exemplo, o conforto do assento, a visibilidade da cabine, a compreensão e o layout dos controles)? (csat);25.43;491/1931
ergonomia (ao operar o equipamento não sinto dores por postura e não preciso fazer muito esforço) (csat);16.31;315/1931
ahora considere las características específicas de su <modelo> mientras evalúa su desempeño. (csat);0.57;11/1931
¿cómo evalúa la comodidad y la ergonomía de su <modelo> (considere, por ejemplo, la comodidad de los asientos, la visibilidad de la cabina, la comprensibilidad y la disposición de los controles)? (csat);0.57;11/1931
