modelo;variavel;importancia
XGBoost_Detrator_3 a 6 M;facilidade de operação (csat);0.41499984
XGBoost_Detrator_3 a 6 M;disponibilidade e confiabilidade mecânica  (csat);0.11840051
XGBoost_Detrator_3 a 6 M;facilidade para realização de manutenções (csat);0.114138775
XGBoost_Detrator_3 a 6 M;adaptabilidade as mais diversas condições de trabalho (csat);0.06049664
XGBoost_Detrator_3 a 6 M;capacidade operacional (hectares por hora) (csat);0.051441304
XGBoost_Detrator_3 a 6 M;geração e transmissão de dados para gestão agrícola (csat);0.049601275
XGBoost_Detrator_3 a 6 M;conforto e ergonomia (csat);0.044944484
XGBoost_Detrator_3 a 6 M;custo de manutenção (csat);0.044540636
XGBoost_Detrator_3 a 6 M;adequação as diversas operações e implementos (csat);0.039133742
XGBoost_Detrator_3 a 6 M;geração e transmissão de dados para gestão da frota (csat);0.03689034
XGBoost_Neutro_3 a 6 M;capacidade operacional (hectares por hora) (csat);0.18389346
XGBoost_Neutro_3 a 6 M;adequação as diversas operações e implementos (csat);0.11473194
XGBoost_Neutro_3 a 6 M;adaptabilidade as mais diversas condições de trabalho (csat);0.11414262
XGBoost_Neutro_3 a 6 M;disponibilidade e confiabilidade mecânica  (csat);0.10287842
XGBoost_Neutro_3 a 6 M;facilidade de operação (csat);0.102667995
XGBoost_Neutro_3 a 6 M;facilidade para realização de manutenções (csat);0.09862459
XGBoost_Neutro_3 a 6 M;conforto e ergonomia (csat);0.05943238
XGBoost_Neutro_3 a 6 M;geração e transmissão de dados para gestão da frota (csat);0.058123592
XGBoost_Neutro_3 a 6 M;custo de manutenção (csat);0.057541873
XGBoost_Neutro_3 a 6 M;consumo de combustível (litros por hectares) (csat);0.05496695
XGBoost_Promotor_3 a 6 M;facilidade de operação (csat);0.3299056
XGBoost_Promotor_3 a 6 M;facilidade para realização de manutenções (csat);0.1567814
XGBoost_Promotor_3 a 6 M;disponibilidade e confiabilidade mecânica  (csat);0.08998142
XGBoost_Promotor_3 a 6 M;capacidade operacional (hectares por hora) (csat);0.08927539
XGBoost_Promotor_3 a 6 M;adaptabilidade as mais diversas condições de trabalho (csat);0.073280744
XGBoost_Promotor_3 a 6 M;adequação as diversas operações e implementos (csat);0.057701886
XGBoost_Promotor_3 a 6 M;geração e transmissão de dados para gestão da frota (csat);0.04769059
XGBoost_Promotor_3 a 6 M;geração e transmissão de dados para gestão agrícola (csat);0.042736452
XGBoost_Promotor_3 a 6 M;conforto e ergonomia (csat);0.040093534
XGBoost_Promotor_3 a 6 M;custo de manutenção (csat);0.037420236
XGBoost_Detrator_6 a 12 M;disponibilidade e confiabilidade mecânica  (csat);0.33323893
XGBoost_Detrator_6 a 12 M;facilidade de operação (csat);0.15900448
XGBoost_Detrator_6 a 12 M;facilidade para realização de manutenções (csat);0.09912261
XGBoost_Detrator_6 a 12 M;adequação as diversas operações e implementos (csat);0.08372681
XGBoost_Detrator_6 a 12 M;capacidade operacional (hectares por hora) (csat);0.06271901
XGBoost_Detrator_6 a 12 M;adaptabilidade as mais diversas condições de trabalho (csat);0.060596224
XGBoost_Detrator_6 a 12 M;custo de manutenção (csat);0.044754565
XGBoost_Detrator_6 a 12 M;geração e transmissão de dados para gestão da frota (csat);0.044427678
XGBoost_Detrator_6 a 12 M;geração e transmissão de dados para gestão agrícola (csat);0.042475183
XGBoost_Detrator_6 a 12 M;conforto e ergonomia (csat);0.035625584
XGBoost_Neutro_6 a 12 M;facilidade de operação (csat);0.15344884
XGBoost_Neutro_6 a 12 M;capacidade operacional (hectares por hora) (csat);0.14775418
XGBoost_Neutro_6 a 12 M;facilidade para realização de manutenções (csat);0.14361632
XGBoost_Neutro_6 a 12 M;disponibilidade e confiabilidade mecânica  (csat);0.10823174
XGBoost_Neutro_6 a 12 M;adequação as diversas operações e implementos (csat);0.08820758
XGBoost_Neutro_6 a 12 M;adaptabilidade as mais diversas condições de trabalho (csat);0.07729148
XGBoost_Neutro_6 a 12 M;geração e transmissão de dados para gestão da frota (csat);0.060101893
XGBoost_Neutro_6 a 12 M;conforto e ergonomia (csat);0.058014788
XGBoost_Neutro_6 a 12 M;geração e transmissão de dados para gestão agrícola (csat);0.057482712
XGBoost_Neutro_6 a 12 M;custo de manutenção (csat);0.0548312
XGBoost_Promotor_6 a 12 M;facilidade de operação (csat);0.3533697
XGBoost_Promotor_6 a 12 M;facilidade para realização de manutenções (csat);0.16978133
XGBoost_Promotor_6 a 12 M;capacidade operacional (hectares por hora) (csat);0.103585795
XGBoost_Promotor_6 a 12 M;disponibilidade e confiabilidade mecânica  (csat);0.08143086
XGBoost_Promotor_6 a 12 M;adequação as diversas operações e implementos (csat);0.06338552
XGBoost_Promotor_6 a 12 M;geração e transmissão de dados para gestão da frota (csat);0.04489634
XGBoost_Promotor_6 a 12 M;adaptabilidade as mais diversas condições de trabalho (csat);0.04447643
XGBoost_Promotor_6 a 12 M;consumo de combustível (litros por hectares) (csat);0.036277026
XGBoost_Promotor_6 a 12 M;conforto e ergonomia (csat);0.0353816
XGBoost_Promotor_6 a 12 M;geração e transmissão de dados para gestão agrícola (csat);0.033791106
XGBoost_Detrator_12 a 18 M;disponibilidade e confiabilidade mecânica  (csat);0.30060902
XGBoost_Detrator_12 a 18 M;facilidade de operação (csat);0.15992925
XGBoost_Detrator_12 a 18 M;capacidade operacional (hectares por hora) (csat);0.11798996
XGBoost_Detrator_12 a 18 M;adaptabilidade as mais diversas condições de trabalho (csat);0.080699414
XGBoost_Detrator_12 a 18 M;facilidade para realização de manutenções (csat);0.078038305
XGBoost_Detrator_12 a 18 M;adequação as diversas operações e implementos (csat);0.06962258
XGBoost_Detrator_12 a 18 M;conforto e ergonomia (csat);0.046628706
XGBoost_Detrator_12 a 18 M;geração e transmissão de dados para gestão agrícola (csat);0.039879736
XGBoost_Detrator_12 a 18 M;consumo de combustível (litros por hectares) (csat);0.03608691
XGBoost_Detrator_12 a 18 M;geração e transmissão de dados para gestão da frota (csat);0.03537658
XGBoost_Neutro_12 a 18 M;disponibilidade e confiabilidade mecânica  (csat);0.22720882
XGBoost_Neutro_12 a 18 M;capacidade operacional (hectares por hora) (csat);0.17558481
XGBoost_Neutro_12 a 18 M;adaptabilidade as mais diversas condições de trabalho (csat);0.091251366
