Variável;Correlação
facilidad para realizar el mantenimiento (csat);1.0
facilidad de uso del piloto automático (csat);0.9428090415820635
costo de mantenimiento (csat);0.8944271909999159
como você avalia a qualidade e a confiabilidade do seu <modelo> (considere o acabamento e a aparência da sua máquina, falhas, problemas de confiabilidade ou avarias que você possa ter tido)? (csat);0.7331874287172723
disponibilidade e confiabilidade mecânica  (csat);0.7312987464227193
¿está satisfecho con la calidad del producto? (csat);0.7246079875748167
generación y transmisión de datos para la gestión agrícola (csat);0.7071067811865477
generación y transmisión de datos para la gestión de flotas (csat);0.7071067811865477
agora, considere características específicas do seu <modelo>, como você avalia seu desempenho (csat);0.7043617391622349
capacidade operacional (hectares por hora) (csat);0.6877485496189142
