Pergunta;Proporção (%);Respondidas/Total
facilidade de operação (csat);82.73;340/411
capacidade operacional (hectares por hora) (csat);82.48;339/411
autonomia de plantio (capacidade das caixas de sementes) (csat);82.0;337/411
adaptabilidade as mais diversas condições de trabalho (csat);81.51;335/411
disponibilidade e confiabilidade mecânica  (csat);81.51;335/411
qualidade de plantio (csat);81.27;334/411
segurança na operação e manutenção da máquina (csat);81.02;333/411
adaptabilidade as mais diversas condições de plantio (csat);80.54;331/411
autonomia de plantio (capacidade das caixas de fertilizantes) (csat);80.05;329/411
facilidade de transporte (csat);80.05;329/411
acompanhamento do relevo (csat);80.05;329/411
facilidade para realização de manutenções (csat);79.56;327/411
nível de tecnologia em agricultura digital (csat);70.8;291/411
facilidade do sistema de corte e/ou taxa (csat);69.59;286/411
desempenho do sistema de corte e/ou taxa (csat);69.1;284/411
custo de manutenção (csat);68.86;283/411
vida útil dos materiais de desgaste (csat);68.37;281/411
opcionais disponíveis (csat);65.69;270/411
compatibilidade com diversos modelos de tratores (csat);64.23;264/411
geração e transmissão de dados para gestão da frota (csat);53.04;218/411
geração e transmissão de dados para gestão agrícola (csat);49.64;204/411
agora, considere características específicas do seu <modelo>, como você avalia seu desempenho (csat);17.03;70/411
como você avalia a qualidade e a confiabilidade do seu <modelo> (considere o acabamento e a aparência da sua máquina, falhas, problemas de confiabilidade ou avarias que você possa ter tido)? (csat);15.82;65/411
como você avalia o conforto e a ergonomia do seu <modelo>  (considere, por exemplo, o conforto do assento, a visibilidade da cabine, a compreensão e o layout dos controles)? (csat);14.36;59/411
capacidad operativa (hectáreas por hora) (csat);1.22;5/411
conforto e ergonomia (csat);0.97;4/411
adequação as diversas operações e implementos (csat);0.97;4/411
consumo de combustível (litros por hectares) (csat);0.97;4/411
facilidade de uso do piloto automático (csat);0.24;1/411
facilidad de operación (csat);0.24;1/411
disponibilidad mecánica y fiabilidad (csat);0.24;1/411
costo de mantenimiento (csat);0.24;1/411
adaptabilidad a las más diversas condiciones de trabajo (csat);0.24;1/411
generación y transmisión de datos para la gestión de flotas (csat);0.24;1/411
facilidad para realizar el mantenimiento (csat);0.24;1/411
