Pergunta;Proporção (%);Respondidas/Total
capacidade operacional (hectares por hora) (csat);58.92;482/818
facilidade de operação (csat);58.92;482/818
adaptabilidade as mais diversas condições de trabalho (csat);58.44;478/818
consumo de combustível (litros por hectares) (csat);57.82;473/818
autonomia de aplicação (capacidade do tanque de produto/defensivos) (csat);57.58;471/818
facilidade para realização de manutenções (csat);57.33;469/818
qualidade de aplicação (csat);56.97;466/818
confiabilidade mecânica (csat);56.6;463/818
desempenho dos sistemas de controle de aplicação e corte de seções (csat);56.6;463/818
facilidade de uso dos sistemas de aplicação e corte de seções (csat);56.6;463/818
conforto (csat);56.6;463/818
disponibilidade mecânica (csat);55.62;455/818
custo de manutenção (csat);53.79;440/818
vida útil de componentes (csat);49.88;408/818
geração e transmissão de dados para gestão da frota (csat);41.2;337/818
geração e transmissão de dados para gestão agrícola (csat);40.46;331/818
como você avalia a qualidade e a confiabilidade do seu <modelo> (considere o acabamento e a aparência da sua máquina, falhas, problemas de confiabilidade ou avarias que você possa ter tido)? (csat);35.45;290/818
agora, considere características específicas do seu <modelo>, como você avalia seu desempenho (csat);34.84;285/818
como você avalia o conforto e a ergonomia do seu <modelo>  (considere, por exemplo, o conforto do assento, a visibilidade da cabine, a compreensão e o layout dos controles)? (csat);34.35;281/818
ergonomia (csat);32.15;263/818
ergonomia (ao operar o equipamento não sinto dores por postura e não preciso fazer muito esforço) (csat);23.72;194/818
¿cómo evalúa la comodidad y la ergonomía de su <modelo> (considere, por ejemplo, la comodidad de los asientos, la visibilidad de la cabina, la comprensibilidad y la disposición de los controles)? (csat);4.89;40/818
ahora considere las características específicas de su <modelo> mientras evalúa su desempeño. (csat);4.77;39/818
disponibilidade e confiabilidade mecânica  (csat);1.83;15/818
adequação as diversas operações e implementos (csat);1.71;14/818
conforto e ergonomia (csat);1.59;13/818
facilidade de uso do piloto automático (csat);1.34;11/818
facilidad para realizar el mantenimiento (csat);0.24;2/818
conforto e ergonomia (ao operar o equipamento não sinto dores por postura e não preciso fazer muito esforço) (csat);0.24;2/818
generación y transmisión de datos para la gestión de flotas (csat);0.24;2/818
adaptabilidad a las más diversas condiciones de trabajo (csat);0.24;2/818
consumo de combustible (litros por hectárea) (csat);0.24;2/818
costo de mantenimiento (csat);0.24;2/818
facilidad de operación (csat);0.24;2/818
capacidad operativa (hectáreas por hora) (csat);0.24;2/818
conforto  (csat);0.24;2/818
adaptabilidade aos tipos de grãos colhidos (csat);0.24;2/818
consumo de combustível (litros por tonelada) (csat);0.24;2/818
compactação do solo (csat);0.24;2/818
qualidade do grão colhido (csat);0.24;2/818
índice de perdas (% ou kg ou sacas por hectare) (csat);0.24;2/818
capacidade operacional (ton ou hectares ou sacas por hora) (csat);0.24;2/818
autonomia de colheita (capacidade do tanque graneleiro) (csat);0.24;2/818
geração e transmissão de mapas de colheita (csat);0.24;2/818
adaptabilidade as mais diversas condições de colheita (csat);0.24;2/818
autonomia de colheita (velocidade de descarga) (csat);0.24;2/818
disponibilidade mecânica e confiabilidade (csat);0.24;2/818
generación y transmisión de datos para la gestión agrícola (csat);0.12;1/818
facilidade de uso do piloto automático e sistemas de mapeamento (csat);0.12;1/818
