sigla;Endereço;UF;Sigla Prisma;Nome do Site;;;
ADC;AV. MAL. MASCARENHAS DE MORAIS - 37;PR;M.PR.ADC;ADRIANÓPOLIS - CENTRO;;;
ADU;RODOVIA PR-419 -  KM 17;PR;M.PR.ADU;Agudos do Sul;;;
ATT;RODOVIA DOS MINÉRIOS -  KM 9 - SUB COPEL;PR;M.PR.ATT;Almirante Tamandaré Centro;;;
TTS;RUA SANTA MARIA -  Q13 LT214;PR;M.PR.TTS;Almirante Tamandaré Santa Maria;;;
AJG;RUA PAULINO MENDES GONÇALVES -  S/N;PR;M.PR.AJG;ALMIRANTE TAMANDARÉ - JARDIM GIANINI;;;
AFR;RUA URUGUAI - 542;PR;M.PR.AFR;ALMIRANTE TAMANDARÉ - JARDIM SÃO FRANCISCO;;;
AVL;Rua Vereador Dirceu Pavoni - Nº 16 - ALMIRANTE TAMANDARÉ;PR;M.PR.AVL;ALMIRANTE TAMANDARÉ - VILA FELIZ;;;
AJD;RUA PROF. ANTÔNIO RODRIGUES DIAS -  Nº 360;PR;M.PR.AJD;ALMIRANTE TAMANDARÉ- JARDIM DONA LUIZA;;;
AJI;RUA STANISLAU BOROWSKI - 641;PR;M.PR.AJI;ALMIRANTE TAMANDARÉ - JARDIM ARCO ÍRIS;;;
A0A;RODOVIA DOS MINERIOS - Nº 65 - KM 19 -  65 - TRANQUEIRA;PR;M.PR.A0A;ALMIRANTE TAMANDARÉ - PR 092;;;
A0B;RUA VALDOMIRO HECKE -  11 - CENTRO;PR;M.PR.A0B;ALMIRANTE TAMANDARÉ - VALDOMIRO HECKE;;;
XSZ;BR 116 -  KM 22;PR;M.PR.XSZ;Posto São Luíz;;;
AON;RUA JUSTINO DE MELLO - 587;PR;M.PR.AON;Antonina;;;
ZAO;Av. Thiago Peixoto - Nº 459 (Batel) - ANTONINA;PR;M.PR.ZAO;ANTONINA REP TX;;;
HUF;RODOVIA DO XISTO - BR 476 - KM 16 - 5;PR;M.PR.HUF;Araucária Ultrafértil;;;
AES;R ZDENCO GAYER - N° 21 - ARAUCÁRIA;PR;M.PR.AES;Araucária Estação;;;
ATH;Rua Doutor José Czaki - Nº 99 - ARAUCÁRIA;PR;M.PR.ATH;ARAUCÁRIA - THOMAZ COELHO;;;
HCI;RUA LOURENÇO GRABOWISKI -  S/N;PR;M.PR.HCI;Araucária Petrobrás;X;;
HCS;Rua das Camélias -  s/n;PR;M.PR.HCS;Araucária Costeira;;;
