WKT;UF;Área Tarifação;sigla;UF_Sigla;Sigla Prisma;Unidade de Negócio;Região;CM Ability;Nome do Site;Endereço;;Município;Latitude;Longitude;Fiscal responsável Vivo;Coordenador Vivo;Coordenador responsável Ability;Classificação Contratual;Modalidade;Tipo de Site;Site ao qual está associado;Detentor do site (conforme Science ou atualizações de campo);Detentor do gabinete (conforme PMTS);Sequencial Science;Monoerb;Site com GMG;Site com GPON da Rede Fixa;;;
POINT (-48.984294 -24.658456);PR;41.0;ADC;PR_ADC;M.PR.ADC;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;ADRIANÓPOLIS - CENTRO;AV. MAL. MASCARENHAS DE MORAIS;37;ADRIANÓPOLIS;-24.658.456;-48.984.294;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;HIGHLINE;;1;92;363;SIM;;;
POINT (-49.342347 -25.992269);PR;41.0;ADU;PR_ADU;M.PR.ADU;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Agudos do Sul;RODOVIA PR-419; KM 17;AGUDOS DO SUL;-25.992.269;-49.342.347;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;CLARO;;907;995;SIM;;;;
POINT (-49.3025 -25.315833);PR;41.0;ATT;PR_ATT;M.PR.ATT;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Almirante Tamandaré Centro;RODOVIA DOS MINÉRIOS; KM 9 - SUB COPEL;ALMIRANTE TAMANDARÉ;-25.315.833;-493.025;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ K2;Sob demanda - Básica;ERB / Site de TX;;VIVO;;907;679;NÃO;;;;
POINT (-49.278363 -25.327463);PR;41.0;TTS;PR_TTS;M.PR.TTS;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Almirante Tamandaré Santa Maria;RUA SANTA MARIA; Q13 LT214;ALMIRANTE TAMANDARÉ;-25.327.463;-49.278.363;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L1;Sob demanda - Completa;ERB / Site de TX;;SBA;;907;916;NÃO;;;;
POINT (-49.294833 -25.353306);PR;41.0;AJG;PR_AJG;M.PR.AJG;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;ALMIRANTE TAMANDARÉ - JARDIM GIANINI;RUA PAULINO MENDES GONÇALVES; S/N;ALMIRANTE TAMANDARÉ;-25.353.306;-49.294.833;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;TELXIUS => ATC;;1;58;84;NÃO;;;
POINT (-49.285675 -25.310016);PR;41.0;AFR;PR_AFR;M.PR.AFR;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;ALMIRANTE TAMANDARÉ - JARDIM SÃO FRANCISCO;RUA URUGUAI;542;ALMIRANTE TAMANDARÉ;-25.310.016;-49.285.675;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;TELXIUS => ATC;;1;58;81;NÃO;;;
POINT (-49.243533 -25.339019);PR;41.0;AVL;PR_AVL;M.PR.AVL;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;ALMIRANTE TAMANDARÉ - VILA FELIZ;Rua Vereador Dirceu Pavoni - Nº 16;ALMIRANTE TAMANDARÉ;-25.339.019;-49.243.533;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;977;463;NÃO;;;;;
POINT (-49.277862 -25.347171);PR;41.0;AJD;PR_AJD;M.PR.AJD;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;ALMIRANTE TAMANDARÉ- JARDIM DONA LUIZA;RUA PROF. ANTÔNIO RODRIGUES DIAS; Nº 360;ALMIRANTE TAMANDARÉ;-25.347.171;-49.277.862;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;1;83;480;NÃO;;;
POINT (-49.262739 -25.336511);PR;41.0;AJI;PR_AJI;M.PR.AJI;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;ALMIRANTE TAMANDARÉ - JARDIM ARCO ÍRIS;RUA STANISLAU BOROWSKI;641;ALMIRANTE TAMANDARÉ;-25.336.511;-49.262.739;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;1;83;528;NÃO;;;
POINT (-49.304725 -25.281839);PR;41.0;A0A;PR_A0A;M.PR.A0A;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;ALMIRANTE TAMANDARÉ - PR 092;RODOVIA DOS MINERIOS - Nº 65 - KM 19; 65 - TRANQUEIRA;ALMIRANTE TAMANDARÉ;-25.281.839;-49.304.725;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;1;88;814;NÃO;;;
POINT (-49.270281 -25.336472);PR;41.0;A0B;PR_A0B;M.PR.A0B;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;ALMIRANTE TAMANDARÉ - VALDOMIRO HECKE;RUA VALDOMIRO HECKE; 11 - CENTRO;ALMIRANTE TAMANDARÉ;-25.336.472;-49.270.281;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;TBSA;;1;88;777;NÃO;;;
POINT (-48.748353 -25.104108);PR;41.0;XSZ;PR_XSZ;M.PR.XSZ;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Posto São Luíz;BR 116; KM 22;ANTONINA;-25.104.108;-48.748.353;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;SBA;;907;919;NÃO;;;;
POINT (-48.714947 -25.431527);PR;41.0;AON;PR_AON;M.PR.AON;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;PARANAGUÁ;Antonina;RUA JUSTINO DE MELLO;587;ANTONINA;-25.431.527;-48.714.947;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;GTS;;907;870;NÃO;;;;
POINT (-48.737453 -25.436983);PR;41.0;ZAO;PR_ZAO;M.PR.ZAO;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;PARANAGUÁ;ANTONINA REP TX;Av. Thiago Peixoto - Nº 459 (Batel);ANTONINA;-25.436.983;-48.737.453;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ K2;Sob demanda - Básica;ERB / Site de TX;;VIVO;;1;45;963;NÃO;;;;
POINT (-49.365569 -25.579422);PR;41.0;HUF;PR_HUF;M.PR.HUF;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Araucária Ultrafértil;RODOVIA DO XISTO - BR 476 - KM 16;5;ARAUCÁRIA;-25.579.422;-49.365.569;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;SBA;;907;879;NÃO;;;;
POINT (-49.39821 -25.5797);PR;41.0;AES;PR_AES;M.PR.AES;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Araucária Estação;R ZDENCO GAYER - N° 21;ARAUCÁRIA;-255.797;-4.939.821;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;ATC;;977;394;NÃO;;;;;
POINT (-49.370694 -25.553166);PR;41.0;ATH;PR_ATH;M.PR.ATH;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;ARAUCÁRIA - THOMAZ COELHO;Rua Doutor José Czaki - Nº 99;ARAUCÁRIA;-25.553.166;-49.370.694;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;1;56;304;NÃO;;;;
POINT (-49.355833 -25.548333);PR;41.0;HCI;PR_HCI;M.PR.HCI;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Araucária Petrobrás;RUA LOURENÇO GRABOWISKI; S/N;ARAUCÁRIA;-25.548.333;-49.355.833;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;TELXIUS;;908;346;NÃO;;X;;
POINT (-49.369925 -25.610963);PR;41.0;HCS;PR_HCS;M.PR.HCS;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Araucária Costeira;Rua das Camélias; s/n;ARAUCÁRIA;-25.610.963;-49.369.925;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;908;26;NÃO;;;;
POINT (-49.396667 -25.589167);PR;41.0;HJB;PR_HJB;M.PR.HJB;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Araucária Centro;RUA JULIA THEREZA BINI; S/N;ARAUCÁRIA;-25.589.167;-49.396.667;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;GTS;;907;640;NÃO;;X;;
POINT (-49.392069 -25.55828);PR;41.0;HJI;PR_HJI;M.PR.HJI;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;Araucária Industrial;AVENIDA DOS PINHEIRAIS;1761;ARAUCÁRIA;-2.555.828;-49.392.069;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;907;878;NÃO;;;;
POINT (-49.352583 -25.523306);PR;41.0;ABR;PR_ABR;M.PR.ABR;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;ARAUCÁRIA - BARIGUI;RUA PEDRO CHEMPECK;S/N;ARAUCÁRIA;-25.523.306;-49.352.583;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;TELXIUS => ATC;;1;45;176;NÃO;;;
POINT (-49.384444 -25.596944);PR;41.0;AIG;PR_AIG;M.PR.AIG;M.CT.41.CTA_2;PR - Curitiba B e Metropolitana Sul;CURITIBA;ARAUCÁRIA - JARDIM IGUAÇU;RUA PIAUÍ; S/N;ARAUCÁRIA;-25.596.944;-49.384.444;Ronaldo Vargas;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;CLARO;;1;36;874;NÃO;;;
